Evento,Electrones_Finales_Anodo
118,23249500.554251693
119,38391466.24505531
120,26295664.306689713
121,41728736.05015088
122,27827573.474827915
123,43804621.099620596
124,25152274.904371053
125,43088985.38013395
126,30340280.35698901
127,28021957.254299175
128,29919309.36265179
129,25015775.18855601
130,26448914.144467864
131,51570658.674659856
132,27560784.575222366
133,27963681.784896407
134,29773713.167007558
135,30252443.595510364
136,168022320.10090578
137,28655910.69778346
138,38960519.16577963
139,22114713.08527269
140,30499350.788621794
141,32047180.05402477
142,34829830.22249168
143,38805897.78458171
144,21210976.62281771
145,25735120.509352744
146,22539067.32936964
147,31416753.471290126
148,39902970.85807201
149,42173182.32269115
150,58762791.85849561
151,23776487.195200987
152,44449660.109745294
153,35765083.44688944
154,29512237.367887426
155,57728287.39350315
156,24390253.66151349
157,27262978.32860734
158,28233928.32039212
159,56748314.35644265
160,26040492.4631434
161,28347673.196547322
162,50815410.34892584
163,24142857.064741593
164,48860114.54903184
165,74887762.82491906
166,31089127.11397101
167,25239286.81599964
168,17485916.37873729
169,194226828.3629283
170,61915986.96670485
171,31242214.889133338
172,23588472.860517185
173,26561333.878985662
174,35469010.69181952
175,104332812.6435087
176,44977135.481426865
177,36405705.29000848
178,29071135.560839307
179,34988836.60616523
180,35669286.92914225
181,33822107.634156704
182,23108679.472322527
183,32622034.460319884
184,46792011.5140641
185,27869190.34690576
186,24889722.35830286
187,74713809.70051743
188,41486528.32746207
189,23084979.370150484
190,28485632.800976023
191,51961348.26465617
192,32886693.20090552
193,31922588.31582291
194,17177966.492207848
195,36295537.26711173
196,25256821.18216706
197,54866737.252719596
198,25126190.08467426
199,27300836.33869392
200,23732918.43110433
201,50046177.90603241
202,30861019.35705455
203,26497642.51785718
204,20905330.642743636
205,26388817.866925087
206,25090613.773290697
207,37217993.83389571
208,28536696.022587493
209,25196844.933114856
210,52417464.04489706
211,29609777.269445624
212,22069150.442989033
213,41891442.35062553
214,22361711.14309163
215,35477154.80391385
216,24974931.65130826
217,28388838.933482282
218,27049248.517575532
219,28066326.012932286
220,49327382.48852336
221,32530887.12054979
222,34151464.21029667
223,24296882.41700575
224,48699586.59700014
225,21826639.24170707
226,43694881.627247766
227,33647626.10916335
228,24157447.200092774
229,52304310.14641702
230,22010060.51440433
231,31427190.800378136
232,25838221.449554656
233,23155029.549685493
234,26412604.212719664
235,23690224.32572518
236,40927913.744634755
237,29509221.839471765
238,32590227.151410837
239,29138060.65858255
240,37138488.28580884
241,22921134.29447307
242,27784755.951034173
243,150305111.72946358
244,32568421.824873023
245,23595589.142333083
246,24404029.604791857
247,21487864.16834068
248,26317809.27909244
